,country,article_per_pop_percent,highqual_art_percent
128,Niger,0.0004236286953793018,3.75
129,"Korea, North",0.0004242885161910099,6.60377358490566
130,Norway,0.012705964160325395,1.2121212121212122
131,Pakistan,0.0005370582771029801,1.5902712815715623
132,Palestinian Territory,0.00417299403395746,6.951871657754011
133,Panama,0.0027386934673366836,4.587155963302752
134,Papua New Guinea,0.00210469230173282,3.6809815950920246
135,Paraguay,0.002136752136752137,2.6666666666666665
136,Peru,0.001146006969841045,0.2801120448179272
137,Poland,0.002138884501822223,1.5795868772782502
138,Portugal,0.003121074499951686,1.8575851393188854
139,Qatar,0.0022133835367697295,7.547169811320755
140,Romania,0.0022279728340550385,10.633484162895927
141,Russia,0.0006624994802566839,3.8702928870292888
142,Rwanda,0.0009354619505264179,1.8867924528301887
143,San Marino,0.2636363636363636,0.0
144,Saudi Arabia,0.0003769985397484292,9.243697478991596
145,Senegal,0.0002927081631541687,6.976744186046512
146,Serbia,0.0032688993813044316,1.7241379310344827
147,Seychelles,0.023698469294324218,0.0
148,Sierra Leone,0.0025680613136171834,1.1976047904191616
149,Singapore,0.0012452353955093203,8.695652173913043
150,Slovakia,0.0022492413880326714,0.819672131147541
151,Slovenia,0.0032945736434108527,1.4705882352941178
152,Solomon Islands,0.015267175572519083,0.0
153,Somalia,0.003074710060235548,2.9239766081871346
154,South Africa,0.0007866862884031903,3.464203233256351
155,South Sudan,0.0010944700460829493,1.5037593984962405
156,Spain,0.0019560904071773636,4.630650496141125
157,Sri Lanka,0.002199455646707046,1.3071895424836601
158,Sudan,0.00025682481367971254,2.857142857142857
159,Suriname,0.007118055555555555,0.0
160,Swaziland,0.002488335925349922,0.0
161,Sweden,0.003977646848602193,1.2820512820512822
162,Switzerland,0.004944017443458227,0.24390243902439024
163,Syria,0.0007969528274245532,5.882352941176471
164,Taiwan,0.0022328276802454404,1.3358778625954197
165,Tajikistan,0.0004850835047590833,0.0
166,Tanzania,0.0007802489912221988,0.7352941176470589
167,Thailand,0.00017352246770447433,0.8849557522123894
168,Togo,0.000912736827548057,1.5151515151515151
169,Tonga,0.06098741529525654,1.5873015873015872
170,Trinidad and Tobago,0.002072538860103627,0.0
171,Tunisia,0.001269726101940867,0.0
172,Turkey,0.0004602697692258518,1.1111111111111112
173,Turkmenistan,0.0006327935976177182,0.0
174,Tuvalu,0.4661016949152542,0.0
175,Uganda,0.000475822724894746,0.5235602094240838
176,Ukraine,0.0007541742259207113,6.191950464396285
177,Uruguay,0.008169567658618754,0.6872852233676976
178,Uzbekistan,9.267902495657588e-05,3.4482758620689653
179,Vanuatu,0.022342342342342343,9.67741935483871
180,Venezuela,0.0004506858262573481,2.1739130434782608
181,Vietnam,0.00020825591882947525,8.900523560209423
182,Yemen,0.0004562965179339492,1.639344262295082
183,Zambia,0.0001680248676804167,7.6923076923076925
184,Zimbabwe,0.0013599170220122163,3.389830508474576
