,country,article_per_pop_percent,highqual_art_percent
0,Afghanistan,0.0010140478184017118,5.504587155963303
1,Albania,0.01590594744121715,1.0869565217391304
2,Algeria,0.0002978872534294583,2.5210084033613445
3,United States,0.00034149542471465335,8.021877848678214
4,Andorra,0.04358974358974359,0.0
5,Angola,0.00044,1.8181818181818181
6,Antigua and Barbuda,0.027777777777777776,0.0
7,Argentina,0.0011690944232310375,3.024193548387097
8,Armenia,0.006595724512164968,3.5175879396984926
9,Australia,0.006563965170797053,2.74234693877551
10,Austria,0.003946167314012202,1.1764705882352942
11,Azerbaijan,0.001896176562014299,0.546448087431694
12,Bahamas,0.005305039787798408,5.0
13,Bahrain,0.0029738745124084916,0.0
14,Bangladesh,0.00020198116089295621,2.1604938271604937
15,Barbados,0.005035971223021582,0.0
16,Belarus,0.000755965274735105,1.3888888888888888
17,Belgium,0.004665034469520467,0.0
18,Belize,0.004347826086956522,0.0
19,Benin,0.0008882140981499256,6.382978723404255
20,Bhutan,0.004359313077939234,6.0606060606060606
21,Guinea-Bissau,0.001174496644295302,9.523809523809524
22,Bolivia,0.001794663739200993,2.127659574468085
23,Bosnia-Herzegovina,0.004903956424374691,3.35195530726257
24,Botswana,0.0031777185849806064,0.0
25,Brazil,0.00027234580457742206,1.2567324955116697
26,United Kingdom,0.0013288883426534751,6.358381502890174
27,Bulgaria,0.003147193984124774,1.3274336283185841
28,Myanmar,0.00045448443822271653,2.9535864978902953
29,Burundi,0.0007075032582386893,1.3157894736842106
30,Cambodia,0.0014075280046182486,2.304147465437788
31,Cameroon,0.0004507350772989595,0.9345794392523364
32,Canada,0.002374905813077331,2.937720329024677
33,Cape Verde,0.0071984435797665365,0.0
34,Central African Republic,0.0012248059222968713,11.764705882352942
35,Chad,0.0007295542423579193,2.0
36,Chile,0.0019528432732316228,1.1363636363636365
37,China,8.294944311621669e-05,3.7785588752196837
38,Colombia,0.0005889916628644905,0.704225352112676
39,Comoros,0.006675392670157068,1.9607843137254901
40,Congo,0.0031335436382754996,2.0134228187919465
41,"Congo, Dem. Rep. of",0.00019498174261864572,3.4965034965034967
42,Costa Rica,0.003104304635761589,1.3333333333333333
43,Croatia,0.004056939501779359,0.5847953216374269
44,Cuba,0.001580034114372924,1.1363636363636365
45,Cyprus,0.009019947961838682,0.9615384615384616
46,Czech Republic,0.0024452132439194037,0.3875968992248062
47,Denmark,0.005144445276403821,1.0273972602739727
48,Djibouti,0.004333333333333333,0.0
49,Dominica,0.01764705882352941,0.0
50,Dominican Republic,0.000618576322801675,3.076923076923077
51,Netherlands,0.004143457353937374,1.2820512820512822
52,Ecuador,0.0011487192087966092,1.6042780748663101
53,Egypt,0.0002671935693917417,4.621848739495798
54,United Arab Emirates,0.000626500991959904,6.666666666666667
55,Equatorial Guinea,0.003975155279503106,0.0
56,Eritrea,0.0003076923076923077,0.0
57,Estonia,0.011674897596649839,1.3071895424836601
58,Ethiopia,0.00010800016301911399,0.9433962264150944
59,Fiji,0.02295271049596309,0.5025125628140703
60,Philippines,0.0004982261014147485,3.898635477582846
61,Finland,0.01044552158305897,0.34965034965034963
62,French Guiana,0.011155378486055778,0.0
63,France,0.0026341669008148358,1.8289085545722714
64,Gabon,0.0058823529411764705,3.883495145631068
65,Gambia,0.0041050639178235445,6.024096385542169
66,Germany,0.0008788147709904847,2.805049088359046
67,Ghana,0.0014237807522187852,2.5380710659898478
68,Greece,0.002699468829597983,1.9292604501607717
69,Grenada,0.032432432432432434,0.0
70,Guadeloupe,0.014004914004914005,1.7543859649122806
71,Guatemala,0.0005190390955076425,4.761904761904762
72,Guinea,0.0008101514710166036,2.247191011235955
73,Guyana,0.0026917900403768506,0.0
74,Haiti,0.0015195898938117906,3.0120481927710845
75,Hungary,0.006588693679632904,1.5432098765432098
76,Iceland,0.062268006335618506,0.970873786407767
77,India,7.465198841057786e-05,1.529051987767584
78,Indonesia,8.563318622711963e-05,4.109589041095891
79,Iran,0.0010651927796340645,2.0334928229665072
80,Iraq,0.0008176813471502591,2.6402640264026402
81,Ireland,0.008509153170804189,8.375634517766498
82,Israel,0.0059698755304831395,3.8
83,Italy,0.0013335087865902484,0.9603841536614646
84,Jamaica,0.0031536486982031535,1.1627906976744187
85,Japan,0.0003476086182344604,2.2675736961451247
86,Jordan,0.0005912786400591279,4.166666666666667
87,Kazakhstan,0.0004502893650657759,0.0
88,Kenya,0.0008554146165304924,1.8469656992084433
89,Kiribati,0.0291005291005291,0.0
90,"Korea, South",0.000571835707184388,2.413793103448276
91,Kosovo,0.0029966703662597113,0.0
92,Kuwait,0.0010162336816322277,2.5641025641025643
93,Kyrgyzstan,0.0011594689968072592,0.0
94,Laos,0.0015790124045186409,0.9174311926605505
95,Latvia,0.002830492900011827,7.142857142857143
96,Lebanon,0.003039611964430073,2.127659574468085
97,Lesotho,0.0015589428496747785,0.0
98,Liberia,0.0035087719298245615,2.5316455696202533
99,Libya,0.0017571632103846762,1.8018018018018018
100,Liechtenstein,0.07718924673941975,6.896551724137931
101,Lithuania,0.008553165134825706,0.0
102,Luxembourg,0.0316232198762478,1.1111111111111112
103,Macedonia,0.0032365586203565045,0.0
104,Madagascar,0.0010413322110086171,2.5
